movie_code,Title,Revenue,Budget,Runtime,Opening_weekend_US,Rating,Production_company,Genre,IMDb_code,year_released,month_released,day_released
10766,Damien: Omen II,26518355,6800000,107,26518355,R,"Mace Neufeld Productions, 20th Century Fox, Harvey Bernhard Productions","Horror, Thriller",tt0077394,1978,06,09
4421,G.I. Jane,48169156,50000000,125,48169156,R,"Caravan Pictures, Largo Entertainment, Trap-Two-Zero Productions, Roger Birnbaum Productions, Moving Pictures, Scott Free Productions, Hollywood Pictures","Action, Drama",tt0119173,1997,08,19
397,French Kiss,101982854,0,111,101982854,R,"PolyGram Filmed Entertainment, Working Title Films, Prufrock Pictures","Comedy, Romance",tt0113117,1995,05,05
532408,The Boogeyman,66978229,41900000,99,66978229,R,"21 Laps Entertainment, 20th Century Studios","Horror, Thriller, Mystery",tt3427252,2023,05,31
303858,Money Monster,93282604,27000000,98,93282604,R,"TriStar Pictures, LStar Capital, Smoke House Pictures, The Allegiance Theater","Thriller, Drama",tt2241351,2016,05,12
2617,The Great Outdoors,43455230,24000000,91,43455230,R,"Universal Pictures, Hughes Entertainment",Comedy,tt0095253,1988,06,17
768520,A California Christmas,0,0,106,0,R,ESX Entertainment,"Comedy, Romance, Drama",tt13055780,2020,12,14
2207,16 Blocks,65664721,55000000,105,65664721,R,"Alcon Entertainment, Cheyenne Enterprises, Equity Pictures Medienfonds GmbH & Co. KG III, 16 Block Productions, The Donners' Company, Millennium Media, Nu Image, ContentFilm, EFO Films","Action, Adventure, Crime, Thriller",tt0450232,2006,03,01
536115,Godzilla: The Planet Eater,0,0,91,0,R,Polygon Pictures,"Animation, Science Fiction, Action, Adventure",tt8478602,2018,11,09
333484,The Magnificent Seven,162400000,90000000,132,162400000,R,"Metro-Goldwyn-Mayer, Columbia Pictures, LStar Capital, Village Roadshow Pictures, Pin High, Escape Artists","Adventure, Action, Western",tt2404435,2016,09,14
928,Gremlins 2: The New Batch,41482207,50000000,106,41482207,R,"Amblin Entertainment, Warner Bros. Pictures","Comedy, Horror, Fantasy",tt0099700,1990,06,15
109451,Cloudy with a Chance of Meatballs 2,248384621,78000000,95,248384621,R,"Columbia Pictures, Sony Pictures Animation","Animation, Family, Comedy",tt1985966,2013,09,26
70006,Never Back Down 2: The Beatdown,0,3000000,99,0,R,Stage 6 Films,"Drama, Action",tt1754264,2011,09,13
14881,Joe Kidd,6330000,0,88,6330000,R,Malpaso Productions,Western,tt0068768,1972,07,19
395992,Life,100541806,58000000,104,100541806,R,"Columbia Pictures, Skydance Media","Horror, Science Fiction, Mystery, Thriller",tt5442430,2017,03,22
306947,The Invitation,354835,1000000,100,354835,R,"XYZ Films, Gamechanger Films, Lege Artis, The Invitation, Drafthouse Films","Thriller, Horror",tt2400463,2016,04,08
10140,The Chronicles of Narnia: The Voyage of the Dawn Treader,415686217,155000000,113,415686217,R,"Fox 2000 Pictures, Walden Media","Adventure, Family, Fantasy",tt0980970,2010,12,02
9681,Casanova,37700000,20000000,112,37700000,R,"Power, Touchstone Pictures, The Mark Gordon Company, Gondola Pictures","Adventure, Comedy, Drama, Romance",tt0402894,2005,12,25
334298,Monster Hunt,387053506,0,118,387053506,R,Edko Films,"Comedy, Fantasy, Adventure",tt3781476,2015,07,16
123553,The Mortal Instruments: City of Bones,95396573,60000000,130,95396573,R,"Screen Gems, Unique Features, Mister Smith Entertainment, Don Carmody Productions, Constantin Film","Fantasy, Action, Mystery",tt1538403,2013,08,21
12117,Instinct,34105207,80000000,124,34105207,R,"Spyglass Entertainment, Touchstone Pictures","Drama, Thriller",tt0128278,1999,06,04
638974,Murder Mystery 2,0,0,91,0,R,"Happy Madison Productions, Echo Films, Vinson Films, Endgame Entertainment, Denver & Delilah Films","Mystery, Comedy, Crime",tt15255288,2023,03,28
575774,His House,0,0,93,0,R,"New Regency Pictures, BBC Film, Starchild Pictures, Vertigo Entertainment","Horror, Thriller",tt8508734,2020,01,27
682,The Man with the Golden Gun,97572000,7000000,125,97572000,R,EON Productions,"Adventure, Action, Thriller",tt0071807,1974,12,14
531454,Eurovision Song Contest: The Story of Fire Saga,0,0,123,0,R,Gary Sanchez Productions,"Comedy, Music",tt8580274,2020,06,26
28032,Thumbelina,17000000,28000000,86,17000000,R,Sullivan Bluth Studios,"Animation, Family, Fantasy, Romance, Music",tt0111419,1994,03,30
